Course,Section,L,Course Name,Enrolled,Credits,Days,Times,Rooms,Instructor
ADMI-3007,30,,INTRODUCCION AL PROCESAMIENTO DE DATOS POR COMPUTADORA,27,3,LW,9:00 am - 10:50 am,AE-104,Aury Curbelo Ruiz 
ADMI-3007,60,,INTRODUCCION AL PROCESAMIENTO DE DATOS POR COMPUTADORA,27,3,LW,12:00 pm - 1:50 pm,AE-104,Aury Curbelo Ruiz 
ADMI-3007,80,,INTRODUCCION AL PROCESAMIENTO DE DATOS POR COMPUTADORA,27,3,LW,2:00 pm - 3:50 pm,AE-104,Aury Curbelo Ruiz 
ADMI-3008,76,,FUNDAMENTOS DE DISENO DE SITIOS WEB,22,2,MJ,1:30 pm - 2:45 pm,AE-105,Maria Larracuente Martinez 
ADMI-3009,20,,"INTRODUCCION A LOS NEGOCIOS, GERENCIA Y ETICA",33,4,LW,8:00 am - 9:50 am,AE-236,William Joseph Frey 
ADMI-3009,40,,"INTRODUCCION A LOS NEGOCIOS, GERENCIA Y ETICA",33,4,LW,10:00 am - 11:50 am,AE-236,William Joseph Frey 
ADMI-3009,66,,"INTRODUCCION A LOS NEGOCIOS, GERENCIA Y ETICA",40,4,MJ,12:00 pm - 1:50 pm,AE-302,Maritza Soto Garcia 
ADMI-3009,70,,"INTRODUCCION A LOS NEGOCIOS, GERENCIA Y ETICA",33,4,LW,1:00 pm - 2:50 pm,AE-236,William Joseph Frey 
ADMI-3009,86,,"INTRODUCCION A LOS NEGOCIOS, GERENCIA Y ETICA",33,4,MJ,2:00 pm - 3:50 pm,AE-236,Maritza Soto Garcia 
ADMI-3010,26,,COMPETENCIA EN COMPUTADORA PARA LA TOMA DE DECISIONES,28,2,MJ,8:30 am - 9:45 am,AE-106,Karen Cotto Quijano 
ADMI-3010,30,,COMPETENCIA EN COMPUTADORA PARA LA TOMA DE DECISIONES,28,2,LWV,9:00 am - 9:50 am,AE-105,Maria Larracuente Martinez 
ADMI-3010,40,,COMPETENCIA EN COMPUTADORA PARA LA TOMA DE DECISIONES,27,2,LWV,10:00 am - 10:50 am,AE-105,Maria Larracuente Martinez 
ADMI-3010,77,,COMPETENCIA EN COMPUTADORA PARA LA TOMA DE DECISIONES,28,2,MJ,1:30 pm - 2:45 pm,AE-104,Jose Martinez Martinez 
ADMI-3010,96,,COMPETENCIA EN COMPUTADORA PARA LA TOMA DE DECISIONES,28,2,MJ,3:00 pm - 4:15 pm,AE-104,Jose Martinez Martinez 
ADMI-3010,106,,COMPETENCIA EN COMPUTADORA PARA LA TOMA DE DECISIONES,27,2,MJ,4:30 pm - 5:45 pm,AE-104,Jose Martinez Martinez 
ADMI-3010,126,,COMPETENCIA EN COMPUTADORA PARA LA TOMA DE DECISIONES,28,2,MJ,6:00 pm - 7:15 pm,AE-106,Wanda Negron Rios 
ADMI-3017,30,,INTRODUCCION AL DESARROLLO EMPRESARIAL,36,2,LW,9:00 am - 9:50 am,AE-338,Moraima De Hoyos Ruperto 
ADMI-3017,31,,INTRODUCCION AL DESARROLLO EMPRESARIAL,36,2,LW,9:00 am - 9:50 am,AE-340,Patricia Valentin Castillo 
ADMI-3017,36,,INTRODUCCION AL DESARROLLO EMPRESARIAL,36,2,MJ,9:00 am - 9:50 am, ,Moraima De Hoyos Ruperto 
